country,region,population,article_title,revision_id,article_quality
Algeria,NORTHERN AFRICA,44.9,Mohamed Elias Mesli,1009461580,Stub
Algeria,NORTHERN AFRICA,44.9,Fatiha Serour,1019766063,Start
Algeria,NORTHERN AFRICA,44.9,Mokhtar Meherzi,1028900891,Stub
Algeria,NORTHERN AFRICA,44.9,Abdenour Keramane,1028900906,Stub
Algeria,NORTHERN AFRICA,44.9,Azzedine Mihoubi,1031600815,Start
Algeria,NORTHERN AFRICA,44.9,Abdeslam Bouchouareb,1053459025,Stub
Algeria,NORTHERN AFRICA,44.9,Amar Makhloufi,1053459748,Stub
Algeria,NORTHERN AFRICA,44.9,Brahim Chibout,1053460621,Stub
Algeria,NORTHERN AFRICA,44.9,Cherif Rahmani,1053461144,Stub
Algeria,NORTHERN AFRICA,44.9,Djelloul Baghli,1053461392,Stub
Algeria,NORTHERN AFRICA,44.9,Hacen Mefti,1053461924,Stub
Algeria,NORTHERN AFRICA,44.9,Mohamed Bensalam,1053464158,Stub
Algeria,NORTHERN AFRICA,44.9,Mohamed Laïchoubi,1053469601,Stub
Algeria,NORTHERN AFRICA,44.9,Mohamed Maghlaoui,1053469610,Stub
Algeria,NORTHERN AFRICA,44.9,Sassi Lamouri,1053478920,Stub
Algeria,NORTHERN AFRICA,44.9,Tahar Allan,1059626268,Stub
Algeria,NORTHERN AFRICA,44.9,Mohammed Saleh Bendjelloul,1064459314,Stub
Algeria,NORTHERN AFRICA,44.9,Souad Bendjaballah,1064463751,Stub
Algeria,NORTHERN AFRICA,44.9,Benaouda Hadj Hacène Bachterzi,1064464792,Stub
Algeria,NORTHERN AFRICA,44.9,Bouras Djamel,1072064909,Stub
Algeria,NORTHERN AFRICA,44.9,Mohamed Seghir Babes,1079379844,Stub
Algeria,NORTHERN AFRICA,44.9,Abelkader Khamri,1088927932,Stub
Algeria,NORTHERN AFRICA,44.9,Mourad Benachenou,1091746754,Stub
Algeria,NORTHERN AFRICA,44.9,Mohamed Hassaïne,1098798192,C
Algeria,NORTHERN AFRICA,44.9,Noureddine Bahbouh,1099284595,Stub
Algeria,NORTHERN AFRICA,44.9,Mahmoud Khedri,1102198843,Stub
Algeria,NORTHERN AFRICA,44.9,Mohamed Belouizdad,1102331624,Start
Algeria,NORTHERN AFRICA,44.9,Said Boualam,1104123484,Start
Algeria,NORTHERN AFRICA,44.9,Bakhti Belaïb,1107713309,Stub
Algeria,NORTHERN AFRICA,44.9,Ibrahim Boughali,1110540602,Stub
Algeria,NORTHERN AFRICA,44.9,Lamine Bechichi,1111537825,Stub
Algeria,NORTHERN AFRICA,44.9,Ahmed Djebbar,1112131049,Stub
Algeria,NORTHERN AFRICA,44.9,Said Abadou,1112193748,Stub
Algeria,NORTHERN AFRICA,44.9,Naima Salhi,1113203380,Stub
Egypt,NORTHERN AFRICA,103.5,Khaled Dawoud,1017821131,Stub
Egypt,NORTHERN AFRICA,103.5,George Messiha,1065964569,Stub
Egypt,NORTHERN AFRICA,103.5,Joseph Cattaui,1093741477,Start
Egypt,NORTHERN AFRICA,103.5,Diaa Rashwan,1096659866,Start
Egypt,NORTHERN AFRICA,103.5,Ahmad Mazlum,1097464922,Start
Egypt,NORTHERN AFRICA,103.5,Mahmoud Ahmad Ibiary,1102928507,Start
Egypt,NORTHERN AFRICA,103.5,Ibrahim El-Gohary,1113646184,Start
Egypt,NORTHERN AFRICA,103.5,Abdelfattah al-Banna,949091502,Stub
Egypt,NORTHERN AFRICA,103.5,Mona Makram-Ebeid,1091152817,Stub
Egypt,NORTHERN AFRICA,103.5,Mohsen Badawi,1091871137,Start
Egypt,NORTHERN AFRICA,103.5,Mohamed Ismail,1109380868,C
Egypt,NORTHERN AFRICA,103.5,Mostafa Alnagar,1110347217,C
Egypt,NORTHERN AFRICA,103.5,Rafik Habib,1112390859,Start
Egypt,NORTHERN AFRICA,103.5,Talaat Sadat,1113508683,Start
Libya,NORTHERN AFRICA,6.8,Abdulrahman Sewehli,1041934642,Stub
Libya,NORTHERN AFRICA,6.8,Ashour Suleiman Shuwail,1062396177,Start
Libya,NORTHERN AFRICA,6.8,Abdel Wahab Qaid,1077575299,Start
Libya,NORTHERN AFRICA,6.8,Abd al-Mawla Naqi,1088160861,Stub
Libya,NORTHERN AFRICA,6.8,Ehtuish Ehtuish,1095905433,Start
Libya,NORTHERN AFRICA,6.8,Bashir Saadawi,1097982743,Stub
Libya,NORTHERN AFRICA,6.8,Abdullah al-Lafi,1110626129,Stub
Libya,NORTHERN AFRICA,6.8,Ahmed Gaddaf al-Dam,1111251503,C
Libya,NORTHERN AFRICA,6.8,Aref Ali Nayed,1115553975,C
Libya,NORTHERN AFRICA,6.8,Abd-Rabbo al-Barassi,1115564159,Stub
Libya,NORTHERN AFRICA,6.8,Abdul Hamid Dbeibeh,1115564238,C
Libya,NORTHERN AFRICA,6.8,Al-Aref al-Khoga,1115564594,Stub
Libya,NORTHERN AFRICA,6.8,Abdullah Naker,1115573103,Start
Libya,NORTHERN AFRICA,6.8,Ahmed Rafiq Almhadoui,980219181,Stub
Libya,NORTHERN AFRICA,6.8,Ahmad Bishti,988068224,Stub
Libya,NORTHERN AFRICA,6.8,Ali Sahli,997716381,Start
Libya,NORTHERN AFRICA,6.8,Mohamed Taha Siala,1040410236,Start
Libya,NORTHERN AFRICA,6.8,Mohamed Ben Ghalbon,1045780839,C
Libya,NORTHERN AFRICA,6.8,Mohamed al-Menfi,1113266300,Start
Libya,NORTHERN AFRICA,6.8,Musa Al-Koni,1114169303,Stub
Libya,NORTHERN AFRICA,6.8,El Waer Hakim,1115555771,Start
Libya,NORTHERN AFRICA,6.8,Fayez al-Sarraj,1115566067,GA
Libya,NORTHERN AFRICA,6.8,Ibrahim Jadhran,1115566993,Start
Libya,NORTHERN AFRICA,6.8,Khalifa Haftar,1115568588,FA
Libya,NORTHERN AFRICA,6.8,Leila bin Khalifa,1115568631,Start
Libya,NORTHERN AFRICA,6.8,Mohamed Eshtewi,1115570928,C
Libya,NORTHERN AFRICA,6.8,Mohammed El Senussi,1115570955,C
Libya,NORTHERN AFRICA,6.8,Fathi Bashagha,1115685809,C
Libya,NORTHERN AFRICA,6.8,Mohamed Abulasʽad El-ʽAlem,978820765,Stub
Libya,NORTHERN AFRICA,6.8,Hisham Ben Ghalbon,983057293,C
Morocco,NORTHERN AFRICA,36.7,Abdelhadi Boutaleb,1014544030,Stub
Morocco,NORTHERN AFRICA,36.7,Anas Doukkali,1045066415,Stub
Morocco,NORTHERN AFRICA,36.7,Ahmed al-Hiba,1058971192,Start
Morocco,NORTHERN AFRICA,36.7,Abdessamad Archane,1081123128,Stub
Morocco,NORTHERN AFRICA,36.7,Ba Ahmed,1082884635,Start
Morocco,NORTHERN AFRICA,36.7,Fadel Benyaich,1087860841,Start
Morocco,NORTHERN AFRICA,36.7,Abu Bakr Ibn Abi Zaid as-Slawi,1089705508,Stub
Morocco,NORTHERN AFRICA,36.7,Abdelghani Bousta,1094981501,B
Morocco,NORTHERN AFRICA,36.7,Brahim Boutaleb,1096298275,Start
Morocco,NORTHERN AFRICA,36.7,Abderrahmane Amalou,1098806861,Stub
Morocco,NORTHERN AFRICA,36.7,Abdelouahed Belkeziz,1102921166,Start
Morocco,NORTHERN AFRICA,36.7,Abderrahim Bouabid,1103644711,Start
Morocco,NORTHERN AFRICA,36.7,Ahmed ibn Abi Mahalli,1112552333,C
Morocco,NORTHERN AFRICA,36.7,Bouchaib Benlabsir,1115345188,Stub
Morocco,NORTHERN AFRICA,36.7,Ahmed Balafrej,1115941684,C
Morocco,NORTHERN AFRICA,36.7,Ahmed Benjelloun,962930707,Stub
Morocco,NORTHERN AFRICA,36.7,Driss Benzekri (activist),984611292,Start
Morocco,NORTHERN AFRICA,36.7,Moulay Ahmed Alaoui,1016144487,Stub
Morocco,NORTHERN AFRICA,36.7,Said Amzazi,1029955505,Stub
Morocco,NORTHERN AFRICA,36.7,Hakim Benchamach,1044626597,Stub
Morocco,NORTHERN AFRICA,36.7,Mohamed Ali El Admi,1055102528,Stub
Morocco,NORTHERN AFRICA,36.7,Moncef Belkhayat,1058789179,Start
Morocco,NORTHERN AFRICA,36.7,Chafik Rachadi,1064310999,C
Morocco,NORTHERN AFRICA,36.7,Khalihenna Ould Errachid,1067186300,C
Morocco,NORTHERN AFRICA,36.7,Abdellatif Jouahri,1067501606,Start
